cycle number	time/s	Ewe/V	Capacity/mA.h	I/mA	
0,000000000000000E+000	0,000000000000000E+000	2,9692044E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	9,999999747378752E+000	2,9691088E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	1,999999949475750E+001	2,9691279E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	2,999999924213625E+001	2,9688988E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	3,999999898951501E+001	2,9688222E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	4,999999873689376E+001	2,9686885E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	5,999999848427251E+001	2,9685357E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	6,999999823165126E+001	2,9683638E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	7,999999797903001E+001	2,9682491E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	8,999999772640876E+001	2,9680963E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	9,999999747378752E+001	2,9679818E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	1,099999972211663E+002	2,9678671E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	1,199999969685450E+002	2,9677334E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	1,299999967159238E+002	2,9675806E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	1,399999964633025E+002	2,9675615E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	1,499999962106813E+002	2,9673705E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	1,599999959580600E+002	2,9671984E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	1,699999957054388E+002	2,9671412E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	1,799999954528175E+002	2,9670265E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	1,899999952001963E+002	2,9668164E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	1,999999949475750E+002	2,9666255E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	2,099999946949538E+002	2,9664917E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	2,199999944423325E+002	2,9664536E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	2,299999941897113E+002	2,9662242E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	2,399999939370900E+002	2,9660904E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	2,499999936844688E+002	2,9658613E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	2,599999934318475E+002	2,9658422E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	2,699999931792263E+002	2,9656892E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	2,799999929266050E+002	2,9654982E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	2,899999926739838E+002	2,9655173E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	2,999999924213625E+002	2,9653263E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	3,099999921687413E+002	2,9651353E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	3,199999919161201E+002	2,9648869E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	3,299999916634988E+002	2,9649060E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	3,399999914108776E+002	2,9646387E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	3,499999911582563E+002	2,9645050E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	3,599999909056351E+002	2,9643712E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	3,699999906530138E+002	2,9641802E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	3,799999904003926E+002	2,9641418E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	3,899999901477713E+002	2,9639890E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	3,999999898951501E+002	2,9638362E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	4,099999896425288E+002	2,9637024E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	4,199999893899076E+002	2,9635305E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	4,299999891372863E+002	2,9633777E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	4,399999888846651E+002	2,9633205E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	4,499999886320438E+002	2,9632630E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	4,599999883794226E+002	2,9631102E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	4,699999881268013E+002	2,9628429E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	4,799999878741801E+002	2,9628811E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	4,899999876215588E+002	2,9626517E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	4,999999873689376E+002	2,9624417E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	5,099999871163163E+002	2,9622889E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	5,199999868636951E+002	2,9622889E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	5,299999866110738E+002	2,9621360E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	5,399999863584526E+002	2,9619832E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	5,499999861058313E+002	2,9619451E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	5,599999858532101E+002	2,9616966E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	5,699999856005888E+002	2,9616203E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	5,799999853479676E+002	2,9614675E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	5,899999850953463E+002	2,9614291E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	5,999999848427251E+002	2,9612191E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	6,099999845901039E+002	2,9610281E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	6,199999843374826E+002	2,9609516E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	6,299999840848614E+002	2,9608178E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	6,399999838322401E+002	2,9607415E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	6,499999835796189E+002	2,9606841E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	6,599999833269976E+002	2,9603977E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	6,699999830743764E+002	2,9602256E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	6,799999828217551E+002	2,9601874E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	6,899999825691339E+002	2,9599965E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	6,999999823165126E+002	2,9598436E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	7,099999820638914E+002	2,9596717E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	7,199999818112701E+002	2,9595952E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	7,299999815586489E+002	2,9594615E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	7,399999813060276E+002	2,9593661E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	7,499999810534064E+002	2,9592323E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	7,599999808007851E+002	2,9591751E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	7,699999805481639E+002	2,9589839E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	7,799999802955426E+002	2,9587929E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	7,899999800429214E+002	2,9586782E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	7,999999797903001E+002	2,9585445E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	8,099999795376789E+002	2,9582963E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	8,199999792850576E+002	2,9582579E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	8,299999790324364E+002	2,9581816E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	8,399999787798151E+002	2,9580288E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	8,499999785271939E+002	2,9578760E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	8,599999782745726E+002	2,9576850E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	8,699999780219514E+002	2,9575322E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	8,799999777693301E+002	2,9573984E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	8,899999775167089E+002	2,9571309E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	8,999999772640876E+002	2,9571309E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	9,099999770114664E+002	2,9569399E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	9,199999767588452E+002	2,9568253E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	9,299999765062239E+002	2,9567106E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	9,399999762536027E+002	2,9565196E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	9,499999760009814E+002	2,9565196E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	9,599999757483602E+002	2,9562902E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	9,699999754957389E+002	2,9562140E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	9,799999752431177E+002	2,9559846E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	9,899999749904964E+002	2,9557936E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	9,999999747378752E+002	2,9557745E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	1,009999974485254E+003	2,9555261E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	1,019999974232633E+003	2,9555645E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	1,029999973980011E+003	2,9553926E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	1,039999973727390E+003	2,9552970E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	1,049999973474769E+003	2,9550295E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	1,059999973222148E+003	2,9548957E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	1,069999972969526E+003	2,9547620E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	1,079999972716905E+003	2,9545138E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	1,089999972464284E+003	2,9544182E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	1,099999972211663E+003	2,9543035E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	1,109999971959041E+003	2,9541891E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	1,119999971706420E+003	2,9539597E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	1,129999971453799E+003	2,9538834E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	1,139999971201178E+003	2,9539025E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	1,149999970948556E+003	2,9536922E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	1,159999970695935E+003	2,9534822E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	1,169999970443314E+003	2,9533865E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	1,179999970190693E+003	2,9531384E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	1,189999969938071E+003	2,9530427E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	1,199999969685450E+003	2,9529281E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	1,209999969432829E+003	2,9527943E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	1,219999969180208E+003	2,9526608E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	1,229999968927586E+003	2,9526033E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	1,239999968674965E+003	2,9523358E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	1,249999968422344E+003	2,9522405E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	1,259999968169723E+003	2,9520686E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	1,269999967917101E+003	2,9519348E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	1,279999967664480E+003	2,9518583E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	1,289999967411859E+003	2,9517436E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	1,299999967159238E+003	2,9516292E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	1,309999966906616E+003	2,9515145E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	1,319999966653995E+003	2,9513044E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	1,329999966401374E+003	2,9512279E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	1,339999966148753E+003	2,9510942E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	1,349999965896131E+003	2,9509032E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	1,359999965643510E+003	2,9508460E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	1,369999965390889E+003	2,9505210E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	1,379999965138268E+003	2,9504447E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	1,389999964885646E+003	2,9502153E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	1,399999964633025E+003	2,9501390E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	1,409999964380404E+003	2,9499671E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	1,419999964127783E+003	2,9498334E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	1,429999963875161E+003	2,9496996E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	1,439999963622540E+003	2,9495468E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	1,449999963369919E+003	2,9493368E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	1,459999963117298E+003	2,9493749E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	1,469999962864676E+003	2,9493368E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	1,479999962612055E+003	2,9491646E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	1,489999962359434E+003	2,9490502E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	1,499999962106813E+003	2,9488783E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	1,509999961854192E+003	2,9486108E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	1,519999961601570E+003	2,9486108E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	1,529999961348949E+003	2,9485152E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	1,539999961096328E+003	2,9482861E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	1,549999960843707E+003	2,9481332E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	1,559999960591085E+003	2,9479420E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	1,569999960338464E+003	2,9476557E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	1,579999960085843E+003	2,9475410E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	1,589999959833222E+003	2,9473498E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	1,599999959580600E+003	2,9473116E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	1,609999959327979E+003	2,9470441E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	1,619999959075358E+003	2,9469297E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	1,629999958822737E+003	2,9468341E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	1,639999958570115E+003	2,9465094E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	1,649999958317494E+003	2,9464521E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	1,659999958064873E+003	2,9463184E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	1,669999957812252E+003	2,9461465E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	1,679999957559630E+003	2,9457262E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	1,689999957307009E+003	2,9457262E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	1,699999957054388E+003	2,9454205E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	1,709999956801767E+003	2,9452486E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	1,719999956549145E+003	2,9451721E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	1,729999956296524E+003	2,9448283E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	1,739999956043903E+003	2,9447327E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	1,749999955791282E+003	2,9445608E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	1,759999955538660E+003	2,9443123E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	1,769999955286039E+003	2,9441023E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	1,779999955033418E+003	2,9439495E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	1,789999954780797E+003	2,9437585E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	1,799999954528175E+003	2,9431472E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	1,800000154528170E+003	2,9416578E+000	5,526106225119697E-008	-9,9469912E-001
0,000000000000000E+000	1,800115354525260E+003	2,9316168E+000	3,204773225386937E-005	-9,9976617E-001
0,000000000000000E+000	1,800254554521744E+003	2,9215684E+000	7,070526667435963E-005	-9,9975348E-001
0,000000000000000E+000	1,800395954518171E+003	2,9115391E+000	1,099738630519973E-004	-9,9976617E-001
0,000000000000000E+000	1,800538954514559E+003	2,9014904E+000	1,496868632899390E-004	-9,9974072E-001
0,000000000000000E+000	1,800683354510911E+003	2,8914611E+000	1,897885638773441E-004	-9,9970889E-001
0,000000000000000E+000	1,800830754507188E+003	2,8814318E+000	2,307234475016594E-004	-9,9979800E-001
0,000000000000000E+000	1,800979354503434E+003	2,8714216E+000	2,719916226433383E-004	-9,9977255E-001
0,000000000000000E+000	1,801127954499680E+003	2,8613732E+000	3,132598957419395E-004	-9,9977893E-001
0,000000000000000E+000	1,801279954495840E+003	2,8513629E+000	3,554722997711764E-004	-9,9972796E-001
0,000000000000000E+000	1,801433954491949E+003	2,8413527E+000	3,982400841845406E-004	-9,9974072E-001
0,000000000000000E+000	1,801587154488079E+003	2,8313425E+000	4,407856994436847E-004	-9,9966437E-001
0,000000000000000E+000	1,801745954484068E+003	2,8213322E+000	4,848864884409640E-004	-9,9969620E-001
0,000000000000000E+000	1,801905154480046E+003	2,8112645E+000	5,290985347959730E-004	-9,9974704E-001
0,000000000000000E+000	1,802071154475852E+003	2,8012352E+000	5,751991246309545E-004	-9,9974704E-001
0,000000000000000E+000	1,802237754471644E+003	2,7912250E+000	6,214663364754782E-004	-9,9972796E-001
0,000000000000000E+000	1,802407754467349E+003	2,7811382E+000	6,686778681046432E-004	-9,9979168E-001
0,000000000000000E+000	1,802580754462979E+003	2,7711279E+000	7,167224862078825E-004	-9,9977893E-001
0,000000000000000E+000	1,802761154458422E+003	2,7611177E+000	7,668222221069865E-004	-9,9974072E-001
0,000000000000000E+000	1,802940554453889E+003	2,7510502E+000	8,166441552771461E-004	-9,9979800E-001
0,000000000000000E+000	1,803130554449090E+003	2,7409635E+000	8,694097539616954E-004	-9,9977893E-001
0,000000000000000E+000	1,803326154444148E+003	2,7309341E+000	9,237305381165609E-004	-9,9975348E-001
0,000000000000000E+000	1,803526954439076E+003	2,7209239E+000	9,794955436090626E-004	-9,9977255E-001
0,000000000000000E+000	1,803735554433806E+003	2,7108564E+000	1,037426727142599E-003	-9,9978524E-001
0,000000000000000E+000	1,803951954428339E+003	2,7008462E+000	1,097524241907729E-003	-9,9979800E-001
0,000000000000000E+000	1,804180954422554E+003	2,6907976E+000	1,161120902909173E-003	-9,9978524E-001
0,000000000000000E+000	1,804418354416557E+003	2,6807492E+000	1,227050250205728E-003	-9,9974072E-001
0,000000000000000E+000	1,804668154410247E+003	2,6706052E+000	1,296423358158933E-003	-9,9981076E-001
0,000000000000000E+000	1,804936754403461E+003	2,6605949E+000	1,371017637825674E-003	-9,9977893E-001
0,000000000000000E+000	1,805216754396388E+003	2,6505847E+000	1,448778025534418E-003	-9,9974072E-001
0,000000000000000E+000	1,805512554388915E+003	2,6404982E+000	1,530926290015379E-003	-9,9980438E-001
0,000000000000000E+000	1,805832554380831E+003	2,6304877E+000	1,619795520136753E-003	-9,9979168E-001
0,000000000000000E+000	1,806165554372419E+003	2,6204774E+000	1,712275018079413E-003	-9,9979800E-001
0,000000000000000E+000	1,806527354363279E+003	2,6104672E+000	1,812752131564749E-003	-9,9977255E-001
0,000000000000000E+000	1,806909554353624E+003	2,6004379E+000	1,918894200179312E-003	-9,9979800E-001
0,000000000000000E+000	1,807322754343186E+003	2,5904086E+000	2,033645455986261E-003	-9,9978524E-001
0,000000000000000E+000	1,807759354332156E+003	2,5803602E+000	2,154895135773553E-003	-9,9977255E-001
0,000000000000000E+000	1,808228354320308E+003	2,5703499E+000	2,285143712504042E-003	-9,9978524E-001
0,000000000000000E+000	1,808724754307768E+003	2,5603013E+000	2,423001671536101E-003	-9,9977255E-001
0,000000000000000E+000	1,809245754294607E+003	2,5502911E+000	2,567690494752592E-003	-9,9978524E-001
0,000000000000000E+000	1,809793354280773E+003	2,5402427E+000	2,719766258067554E-003	-9,9977255E-001
0,000000000000000E+000	1,810365154266328E+003	2,5302134E+000	2,878563765866888E-003	-9,9975979E-001
0,000000000000000E+000	1,810955954251403E+003	2,5202031E+000	3,042637803236643E-003	-9,9979168E-001
0,000000000000000E+000	1,811562954236069E+003	2,5101547E+000	3,211210652444097E-003	-9,9974704E-001
0,000000000000000E+000	1,812178954220508E+003	2,5001445E+000	3,382282990707291E-003	-9,9974704E-001
0,000000000000000E+000	1,812813354204482E+003	2,4901149E+000	3,558465134140518E-003	-9,9982989E-001
0,000000000000000E+000	1,813439354188667E+003	2,4801047E+000	3,732314806921614E-003	-9,9979168E-001
0,000000000000000E+000	1,814083554172394E+003	2,4700944E+000	3,911218959752056E-003	-9,9975348E-001
0,000000000000000E+000	1,814723354156231E+003	2,4600651E+000	4,088901394274499E-003	-9,9982989E-001
0,000000000000000E+000	1,815363554140058E+003	2,4499977E+000	4,266694666163789E-003	-9,9975348E-001
